composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxfo,stMm,pendiente_v,st_t,pendiente_t
vp001,1,n,1,1.524313384241305,5.248264617175051,226.74837399203244,379.45590171501476,8.914080336220842,-0.015624998826051369,-5.68130978796123,-25.88147576450895
vp001,1,n,2,1.5738278864326471,5.083147953448316,199.41699068346855,314.5081365371861,7.887708070970817,-0.020843727570911706,-7.1358861013279515,-23.588741063813508
vp001,1,n,3,1.4244865541434182,5.616058625987252,230.71773490552553,392.81017908241006,9.212440913302004,-0.015364033764207032,-6.429993922404448,-31.998480978422325
vp001,1,n,4,1.391283472811904,5.750086273813999,198.35914026682315,329.5054068377432,8.786247132310937,-0.03479809510455741,-8.177552349570991,-32.5560809500673
vp001,1,n,5,1.3298628225188684,6.015658054751353,220.73879218314326,361.81496522428495,8.554942717358957,-0.023708353710506638,-8.320497962640768,-31.097097615776295
vp001,1,n,6,1.3730224119825731,5.826561846465721,199.84411713017982,296.53937200922473,6.83218274498318,-0.019821750731866282,-6.075367402130572,-21.18601286890127
vp001,1,n,7,1.3596724084577705,5.8837702009957855,223.655675326951,282.1862535069874,4.024420106707337,-0.012214162163134966,-3.496863513472836,-15.568445540293661
vp001,1,n,8,1.3744227519142758,5.820625414456882,190.02829571691788,439.39708442063613,14.511732495050495,0.006535012561753946,2.097720732912573,9.141693273486524
vp001,1,n,9,1.1272649598147506,7.096823094115053,218.6910974625664,403.6519607100876,10.610608890583833,-0.02014765869988371,-5.947810946612318,-43.56961933497496
vp001,1,n,10,1.2636042357212904,6.331096219722183,190.4847702999075,309.7194458009662,8.415435723141474,-0.011401244264109335,-1.4112319161781177,-9.005637950697055
vp001,2,n,1,1.421740416814533,5.6269062237988035,281.57966300208255,436.55062371778877,7.591269878726877,-0.011462349100972657,-4.832901639489599,-21.89681709250238
vp001,2,n,2,1.3643738054344823,5.863495742981092,194.72372502309568,341.5697548609656,9.72901874084547,-0.036013740785281065,-9.63587588123675,-27.75335922591968
vp001,2,n,3,1.3315792448514223,6.007903796136925,274.2478009368426,402.79471418180094,6.654776385581961,-0.012916639108644537,-4.245901233140712,-20.937777150676496
vp001,2,n,4,1.319070386548102,6.064877266280943,202.94076857862677,353.82040439978596,9.62350239692731,-0.02988716192808445,-8.884149390071077,-23.931458744376844
vp001,2,n,5,1.5078998738588858,5.305392048032405,251.93920703565587,410.17673112623123,8.438039981120536,-0.012374705665985062,-5.593366961025248,-23.438670286305918
vp001,2,n,6,1.3843497332589934,5.7788865109733845,194.84204002992524,331.0747507728806,9.178223939739244,-0.029333200048114325,-8.870456532505385,-27.02200762494204
vp001,2,n,7,1.3631992749409534,5.868547722303123,227.12583573437317,359.6931948084074,7.959300500816133,-0.010272757678695246,-2.913554639113879,-15.58741658347372
vp001,2,n,8,1.5176500433853555,5.271307463053044,210.58568004528553,474.25068938969434,14.054910422893556,0.009423139192445373,3.591174890720659,11.93929678986666
vp001,2,n,9,1.1593596521649054,6.9003608889281,245.5027847055503,436.75549455387875,9.973037567869596,-0.011393009935688538,-3.464332156878772,-18.32344297340184
